                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  0.777,                 1.5338,                 2.4574,                 1.1038,                0.72467,                0.48148,                0.58244,                0.43853,                0.72467,                0.48148,                0.59309,                0.47836,                0.63035,                 1.0108,                 2.4201,                 1.0623,               0.070405,              0.0032883,              0.0032883
                      1,                0.76441,                 1.2489,                 1.7777,                 1.0768,                0.50962,                 0.4878,                0.48454,                0.36946,                0.51706,                    0.5,                0.48864,                0.37366,                0.79849,                 1.8242,                 2.1285,                 1.1915,               0.040392,              0.0066085,              0.0066085
                      2,                 0.8248,                 1.3305,                 1.6873,                 1.1147,                0.54256,                0.54268,                0.48523,                0.33017,                0.53486,                0.42073,                0.42346,                0.24665,                 1.0328,                 2.0899,                 2.0633,                 1.4089,               0.010366,              0.0099155,              0.0099155
                      3,                 0.9335,                 1.5161,                 1.7132,                 1.1714,                0.55372,                 0.4939,                0.46789,                0.32522,                0.56099,                    0.5,                 0.4669,                0.33879,                 1.0262,                 1.9376,                 2.0869,                  1.431,              0.0099406,              0.0099406,              0.0099406
                      4,                0.97426,                 1.5276,                 1.7048,                 1.1961,                0.65776,                 0.4878,                 0.5406,                0.37709,                 0.6742,                    0.5,                0.54889,                0.39324,                 1.0279,                  1.966,                 2.1586,                 1.4502,              0.0099406,              0.0099406,              0.0099406
                      5,                0.95461,                 1.5563,                 1.6135,                 1.2058,                0.57906,                0.56707,                0.53914,                0.38774,                0.58562,                0.59146,                 0.5562,                0.40874,                 1.0298,                 1.8091,                 1.9085,                 1.3978,              0.0099208,              0.0099208,              0.0099208
                      6,                0.94834,                 1.5009,                 1.5754,                 1.2058,                0.68017,                0.52439,                0.58485,                0.40287,                0.66733,                0.52596,                0.59182,                0.41885,                 1.1252,                 1.9127,                 1.7695,                 1.4956,               0.009901,               0.009901,               0.009901
                      7,                0.93041,                 1.4197,                 1.5228,                  1.188,                0.78363,                 0.5061,                0.58821,                 0.4265,                0.75867,                0.53049,                0.59518,                0.43858,                0.97152,                  1.909,                 1.5227,                 1.3614,              0.0098812,              0.0098812,              0.0098812
                      8,                  0.902,                 1.4175,                 1.4666,                 1.1599,                 0.5997,                0.55725,                0.51476,                0.37998,                0.61939,                0.57554,                0.54616,                 0.4143,                0.91133,                 1.5813,                 1.7661,                 1.2934,              0.0098614,              0.0098614,              0.0098614
                      9,                0.89008,                 1.3916,                 1.4158,                  1.165,                0.72863,                0.58941,                0.64129,                 0.4791,                0.72665,                0.57927,                0.64188,                0.51298,                0.95353,                 1.5509,                 1.4533,                 1.3102,              0.0098416,              0.0098416,              0.0098416
                     10,                0.89695,                 1.4244,                 1.4286,                 1.1645,                0.61236,                0.62805,                0.61324,                0.43674,                0.61877,                0.63415,                0.61714,                0.47272,                0.97339,                 1.5912,                 1.4562,                  1.331,              0.0098218,              0.0098218,              0.0098218
                     11,                0.87649,                 1.3467,                 1.3858,                 1.1485,                0.78093,                0.55488,                0.65406,                0.49747,                0.78093,                0.55488,                 0.6565,                0.51159,                0.91651,                 1.5946,                 1.3193,                 1.2936,               0.009802,               0.009802,               0.009802
                     12,                0.86089,                 1.3414,                 1.3517,                 1.1556,                0.71055,                0.63415,                0.64891,                0.46874,                 0.7069,                0.66463,                0.65678,                0.50761,                0.89128,                 1.5533,                  1.357,                 1.2621,              0.0097822,              0.0097822,              0.0097822
                     13,                0.87412,                 1.3621,                 1.3709,                 1.1579,                0.68909,                 0.6487,                0.63981,                0.45319,                0.68329,                0.65244,                0.62882,                0.48202,                 1.0014,                 1.4823,                 1.3908,                  1.344,              0.0097624,              0.0097624,              0.0097624
                     14,                0.85589,                 1.3291,                 1.3415,                 1.1377,                0.67497,                0.54878,                0.58194,                0.42241,                0.69002,                0.57008,                0.59228,                0.44948,                0.99442,                 1.5217,                 1.4854,                 1.3298,              0.0097426,              0.0097426,              0.0097426
                     15,                0.84862,                 1.2629,                 1.3071,                 1.1383,                0.71737,                0.62805,                0.67404,                0.50489,                0.77037,                0.61369,                0.68215,                 0.5413,                0.92157,                 1.4063,                 1.2957,                  1.283,              0.0097228,              0.0097228,              0.0097228
                     16,                0.80923,                  1.215,                 1.2535,                 1.1159,                0.63857,                0.65716,                0.62579,                0.47866,                0.63283,                0.65159,                0.62016,                0.48653,                0.85273,                 1.7313,                  1.285,                 1.2461,               0.009703,               0.009703,               0.009703
                     17,                0.79011,                 1.2327,                 1.1967,                 1.1118,                0.68135,                0.59756,                0.64827,                0.52666,                0.71202,                0.60366,                0.65163,                0.52786,                0.79879,                 1.4763,                 1.2319,                 1.1744,              0.0096832,              0.0096832,              0.0096832
                     18,                0.81328,                  1.228,                 1.2601,                 1.1217,                0.63049,                0.60976,                0.62881,                0.50688,                0.65123,                 0.6262,                0.64022,                0.51214,                0.83002,                 1.5365,                 1.3135,                 1.2283,              0.0096634,              0.0096634,              0.0096634
                     19,                0.79599,                 1.2704,                 1.2491,                 1.1155,                0.64796,                0.58537,                0.62557,                0.49173,                0.65471,                0.59146,                0.63518,                0.50425,                0.84747,                 1.3594,                 1.3243,                 1.2398,              0.0096436,              0.0096436,              0.0096436
                     20,                0.79516,                 1.2249,                 1.2484,                 1.1116,                0.65168,                0.60976,                0.62505,                0.46643,                0.67938,                0.60976,                0.63956,                0.47516,                0.98719,                 1.6823,                 1.3359,                  1.366,              0.0096238,              0.0096238,              0.0096238
                     21,                0.79529,                  1.237,                 1.2192,                 1.1113,                0.70654,                0.59146,                0.63902,                0.48067,                0.70654,                0.59146,                 0.6424,                0.47835,                0.88218,                 1.5089,                 1.3264,                 1.2637,               0.009604,               0.009604,               0.009604
                     22,                0.77775,                 1.1825,                 1.2031,                 1.0954,                0.76697,                0.60206,                0.65813,                 0.4964,                0.75143,                0.58987,                0.65131,                0.52033,                0.87652,                 1.4478,                 1.2828,                 1.2967,              0.0095842,              0.0095842,              0.0095842
                     23,                0.79884,                 1.1864,                 1.1963,                 1.1155,                0.77499,                0.53659,                  0.653,                0.48445,                0.78379,                0.54268,                0.64808,                0.49785,                0.88048,                 1.5025,                 1.2762,                 1.2583,              0.0095644,              0.0095644,              0.0095644
