                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.77416,                 1.4993,                 2.4153,                 1.1053,                0.46009,                0.34545,                0.30353,                0.22578,                0.43587,                0.32727,                0.29212,                0.21256,                 1.1239,                 2.1943,                 2.7281,                 1.3755,               0.070357,              0.0032937,              0.0032937
                      1,                0.76041,                  1.214,                  1.694,                 1.0838,                0.51017,                    0.4,                0.36668,                 0.2365,                0.49217,                0.38182,                0.35365,                0.26959,                 1.2004,                 1.6343,                 2.3867,                 1.4396,               0.040344,              0.0066139,              0.0066139
                      2,                0.80533,                 1.2842,                 1.6027,                 1.1158,                 0.5277,                0.32727,                0.31141,                0.22184,                 0.5277,                0.32727,                0.30127,                0.20555,                 1.2672,                 2.2847,                 2.3232,                 1.5866,               0.010318,              0.0099209,              0.0099209
                      3,                0.90993,                 1.4447,                 1.6428,                 1.1683,                0.30079,                0.47716,                0.27459,                0.13819,                0.26062,                0.41818,                0.20119,                 0.1309,                 1.6444,                 3.3659,                 2.6359,                   1.97,              0.0099406,              0.0099406,              0.0099406
                      4,                0.91852,                 1.4757,                 1.5507,                 1.1687,                0.44719,                    0.4,                0.32851,                0.18086,                0.45091,                    0.4,                0.32513,                 0.1925,                 1.6995,                 2.9498,                 2.6966,                 2.0833,              0.0099406,              0.0099406,              0.0099406
                      5,                0.94938,                 1.5253,                 1.5557,                 1.1993,                0.48204,                0.34545,                0.36395,                0.19453,                0.48934,                0.30909,                0.30861,                0.19788,                 1.6007,                 2.3415,                 2.2474,                 1.9686,              0.0099208,              0.0099208,              0.0099208
                      6,                 0.9499,                 1.4907,                 1.5302,                 1.1835,                0.54315,                0.32727,                0.35807,                0.22883,                0.54315,                0.32727,                0.35657,                 0.2439,                 1.3834,                  2.621,                 2.1972,                 1.6639,               0.009901,               0.009901,               0.009901
                      7,                0.91011,                 1.4358,                 1.4731,                 1.1694,                0.60516,                    0.4,                0.34491,                0.21703,                0.52938,                0.34545,                0.31411,                0.17168,                 1.4961,                  3.551,                 2.4228,                 1.7653,              0.0098812,              0.0098812,              0.0098812
                      8,                0.89918,                 1.4304,                 1.4163,                 1.1695,                0.39875,                0.36364,                0.30407,                0.17381,                 0.4326,                0.37437,                0.31332,                0.17502,                 1.5429,                 2.7095,                 2.4964,                 1.7451,              0.0098614,              0.0098614,              0.0098614
                      9,                0.87354,                 1.3792,                 1.3795,                 1.1642,                0.39894,                0.35003,                0.30035,                0.19108,                0.31562,                 0.4025,                 0.2765,                0.20054,                 1.3553,                  2.385,                 2.3258,                 1.5678,              0.0098416,              0.0098416,              0.0098416
                     10,                0.87916,                 1.3549,                 1.3829,                 1.1613,                0.47073,                    0.4,                 0.3424,                0.23701,                0.49531,                0.41818,                0.37177,                0.24862,                  1.424,                 2.7894,                 2.1673,                 1.8593,              0.0098218,              0.0098218,              0.0098218
                     11,                0.85524,                 1.3198,                 1.3125,                 1.1353,                 0.4106,                0.36364,                0.33035,                0.21399,                0.46487,                0.34545,                0.33152,                0.22262,                 1.4091,                 2.4469,                 2.2041,                 1.7868,               0.009802,               0.009802,               0.009802
                     12,                0.85155,                 1.3436,                  1.323,                 1.1393,                0.43692,                0.50791,                0.44202,                0.29938,                0.56153,                    0.4,                0.41398,                0.30284,                 1.3702,                 2.4486,                 2.2278,                 1.5795,              0.0097822,              0.0097822,              0.0097822
                     13,                  0.843,                 1.2888,                 1.3046,                 1.1277,                0.39184,                0.47273,                0.37139,                 0.2579,                0.39184,                0.47273,                0.35157,                0.25909,                 1.4164,                 2.2328,                 2.1109,                 1.6593,              0.0097624,              0.0097624,              0.0097624
                     14,                0.83549,                 1.2749,                 1.3032,                 1.1248,                0.44172,                0.49091,                0.39362,                0.27167,                0.45356,                    0.4,                0.35898,                0.26348,                 1.3562,                 2.7096,                 1.8718,                 1.6302,              0.0097426,              0.0097426,              0.0097426
